id_commune;commune_gironde;kilometrage_bordeaux
441;Saint-Pey-d'Armens;48
442;Saint-Pey-de-Castets;55
443;Saint-Philippe-d'Aiguille;58
444;Saint-Philippe-du-Seignal;79
445;Saint-Pierre-d'Aurillac;55
446;Saint-Pierre-de-Bat;53
447;Saint-Pierre-de-Mons;53
448;Saint-Quentin-de-Baron;28
449;Saint-Quentin-de-Caplong;74
450;Saint-Romain-la-Virvée;28
451;Saint-Sauveur;51
452;Saint-Sauveur-de-Puynormand;65
453;Saint-Savin;46
454;Saint-Selve;27
455;Saint-Seurin-de-Bourg;42
456;Saint-Seurin-de-Cadourne;64
457;Saint-Seurin-de-Cursac;52
458;Saint-Seurin-sur-l'Isle;65
459;Saint-Sève;80
460;Saint-Sulpice-de-Faleyrens;42
461;Saint-Sulpice-de-Guilleragues;86
462;Saint-Sulpice-de-Pommiers;68
463;Saint-Sulpice-et-Cameyrac;11
464;Saint-Symphorien;62
465;Saint-Trojan;45
466;Saint-Vincent-de-Paul;20
467;Saint-Vincent-de-Pertignas ;42
468;Saint-Vivien-de-Blaye;39
469;Saint-Vivien-de-Médoc;84
470;Saint-Vivien-de-Monségur;72
471;Saint-Yzan-de-Soudiac;43
472;Saint-Yzans-de-Médoc;68
473;Sainte-Colombe;56
474;Sainte-Croix-du-Mont;46
475;Sainte-Eulalie;15
476;Sainte-Florence;39
477;Sainte-Foy-la-Grande;71
478;Sainte-Foy-la-Longue;62
479;Sainte-Gemme;57
480;Sainte-Hélène;30
481;Sainte-Radegonde;60
482;Sainte-Terr;53
483;Salaunes;24
484;Sallebœuf;18
485;Salles;48
486;Samonac;40
487;Saucats;23
488;Saugon;48
489;Saumos;39
490;Sauternes;56
491;Sauveterre-de-Guyenne;63
492;Sauviac;74
493;Savignac;62
494;Savignac-de-l'Isle;49
495;Semens;52
496;Sendets;70
497;Sigalens;76
498;Sillas;77
499;Soulac-sur-Mer;94
500;Soulignac;38
501;Soussac;71
502;Soussans;37
503;Tabanac;25
504;Taillecavat;96
505;Talais;87
506;Talence;6
507;Targon;36
508;Tarnès;31
509;Tauriac;36
510;Tayac;69
511;Teuillac;42
512;Tizac-de-Curton;32
513;Tizac-de-Lapouyade;43
514;Toulenne;50
515;Tresses;12
516;Uzeste;62
517;Val de Virvée;30
518;Val-de-Livenne;62
519;Valeyrac;77
520;Vayres;29
521;Vendays-Montalivet;81
522;Vensac;78
523;Vérac;33
524;Verdelais;52
525;Vertheuil;57
526;Vignonet;45
527;Villandraut;57
528;Villegouge;36
529;Villenave-d'Ornon;8
530;Villenave-de-Rions;32
531;Villeneuve;48
532;Virelade;33
533;Virsac;29
534;Yvrac;15
